"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Henri Perreyve (born at Paris, 11 April 1831; died there 18 June 1865) was a French Oratorian priest .","(Henri Perreyve, place of birth, Paris)"
"David R Nelson (born September 5, 1951, Stuttgart) is an American physicist, and Arthur K Solomon Professor of Biophysics, at Harvard University .","(David Robert Nelson, place of birth, Stuttgart)"
"Born in Mexico, Fico López was Puerto Rico's National Team's star point guard, following in the footsteps of Puerto Rico's greatest basketball player, point-guard Juan ``Pachín'' Vicéns .","(Federico López, place of birth, Mexico)"
"Stephen Carr (born 6 January 1966 in Sydney, Australia) is an Australian retired pair skater who currently works as a coach .","(Stephen Carr, place of birth, Sydney)"
"Born in Savannah, Georgia, Pendleton received a liberal schooling as a youth .","(Edmund H. Pendleton, place of birth, Savannah)"
"Born at Oxford, Hayter was the son of Sir William Goodenough Hayter (1869--1924), a judge in Egypt and an adviser to the Egyptian government, and his wife, Alethea Slessor, daughter of a Hampshire clergyman, the Rev .","(William Hayter, place of birth, Oxford)"
"Pat Gerber (17 March 1934, in Glasgow -- 26 August 2006, in Glasgow) was a Scottish writer and author mainly known for her children's books .","(Pat Gerber, place of birth, Glasgow)"
"Born in Belfast, McCarthy studied at the Belfast Municipal College of Technology before working as a quantity surveyor .","(David McCarthy, place of birth, Belfast)"
"Born in Milan, he was the son of the architect Giovanni Solari, and brother of Francesco Solari .","(Guiniforte Solari, place of birth, Milan)"
"Derrick Leon (Derrick Lewis Leon) (1908-1944) was a British author, who was born in London in 1908, and died of tuberculosis in November 1944, aged 36, shortly after completing the first draft of his biography of John Ruskin (Ruskin: The Great Victorian), published by Routledge & Kegan Paul in 1949 .","(Derrick Leon, place of birth, London)"
"Born in Bangor, Maine into a Universalist family, Barrett studied to become a Universalist minister after experiencing trances and visions .","(Joseph Osgood Barrett, place of birth, Bangor)"
"Governor John Jenkins, immigrant, was born in England and died in Perquimans County, North Carolina, 17 December 1661 .","(John Jenkins, place of birth, England)"
"Rastko Cvetković (born June 22, 1970 in Belgrade, Yugoslavia) is a Serbian retired basketball player .","(Rastko Cvetković, place of birth, Belgrade)"
"John Snyder (born 1950 Boston MA) is an American film, stage and television actor that graduated from Boston University's School of Fine and Applied Arts with a BFA in 1974 .","(John Snyder, place of birth, Boston)"
"Trevor Burton (born Trevor Ireson, 9 March 1949, Aston, Birmingham, England) is a British guitarist and was one of the original members of The Move .","(Trevor Burton, place of birth, Aston)"
"Al Cotey (19 March 1888 Chicago, Illinois -- 27 October 1974 New Smyrna Beach, Florida) was an American racecar driver. ) .","(Al Cotey, place of birth, Chicago)"
"Jan Antonín Duchoslav (born 1 May 1965, Prague) is a Czech actor .","(Jan Antonín Duchoslav, place of birth, Prague)"
"Steve Francis was born 1954 in Phoenix, Arizona .","(Steve Francis, place of birth, Phoenix)"
"Born in Brooklyn, Ericson earned an associate degree in mathematics from North Park Junior College in Chicago in 1934, and then earned bachelors degrees in mathematics and music from the University of Chicago .","(Raymond Ericson, place of birth, Brooklyn)"
"Valeriu Stoica (born October 1, 1953, Bucharest) is a Romanian politician and academic .","(Valeriu Stoica, place of birth, Bucharest)"
"Christian Murchison (born 1 November 1980, in Singapore) is a Singaporean race car driver .","(Christian Murchison, place of birth, Singapore)"
"Julie Duncan (born 17 January 1919 in Cornish, New Hampshire; died 20 June 1986) was a motion picture actress specialising in short subjects and Westerns .","(Julie Duncan, place of birth, Cornish)"
James Moffat (born 18 June 1984 in Melbourne Victoria) is an Australian racing driver who currently competes for the Dick Johnson Racing team in the 2011 International V8 Supercars Championship .,"(James Moffat, place of birth, Victoria)"
"Born in Scotland, Erskine was an inventor and engineer of some renown in his native land .","(Robert Erskine, place of birth, Scotland)"
"Katz, who was born in Pittsburgh, lived in Squirrel Hill (a large residential neighborhood in the east end of Pittsburgh) and was raised in Steubenville, first started to play bridge when he was 16 A sports enthusiast, the competitive side of bridge drew Katz to the game .","(Ralph Katz, place of birth, Pittsburgh)"
"Bernard Cassen ( born 2 November 1937 in Paris) is a founder of ATTAC and director general of Le Monde diplomatique newspaper, from 1973 to January 2008 .","(Bernard Cassen, place of birth, Paris)"
"Gerhard Kraft (b. 1941 in Heidelberg, Germany) is a German physicist, best known for introducing heavy ion cancer therapy in Europe .","(Gerhard Kraft, place of birth, Heidelberg)"
Lucas Auer (born 11 September 1994 in Austria) is a racing driver currently competing in the 2011 JK Racing Asia Series season .,"(Lucas Auer, place of birth, Austria)"
"He was born in 1791 in India, where his father, James Amos, a Russian merchant, of Devonshire Square, London, who had travelled there, had married Cornelia Bonté, daughter of a Swiss general officer in the Dutch service .","(Andrew Amos, place of birth, India)"
"Richard Bathurst (d. 1762), was an essayist, was born in Jamaica, and sent to England to study medicine .","(Richard Bathurst, place of birth, Jamaica)"
"Born in Chicago, Illinois, Honeck graduated from high school in Milwaukee, Wisconsin .","(Stewart G. Honeck, place of birth, Chicago)"
"Giovanni Francesco Commendone (born at Venice, 17 March 1523; died at Padua, 26 December 1584) was an Italian Cardinal and papal nuncio .","(Giovanni Francesco Commendone, place of birth, Venice)"
"Born in Montgomery, Alabama, Smith has lived there since her birth .","(Mary Louise Smith, place of birth, Montgomery)"
"Miglena Markova (, born 16 February 1983 in Sofia) is a Bulgarian rower .","(Miglena Markova, place of birth, Sofia)"
"The second child of Abraham van den Broek and Elisabeth de Meijne, he was born in Amsterdam, Netherlands in June 1784 .","(Theodore J. van den Broek, place of birth, Amsterdam)"
"Amy Sarkisian (born 1969 in Cleveland, Ohio, U.S.) is a contemporary artist living and working in Los Angeles, California .","(Amy Sarkisian, place of birth, Cleveland)"
"Thomas Barclay was born on 21 November 1849 in Glasgow, the youngest brother of six (he also had one sister) .","(Thomas Barclay, place of birth, Glasgow)"
"Born in Bahrain, Al Tajir was educated at Preston Grammar School in Lancashire .","(Mahdi Al Tajir, place of birth, Bahrain)"
"David Sander (born May 1969 in Melbourne) is an Australian film writer and director and special effects artist who owns Surfaces Rendered, a visual effects, graphics, design, and film finishing business .","(David Sander, place of birth, Melbourne)"
"Massimo Carello (born 1949, Turin) is an Italian businessman .","(Massimo Carello, place of birth, Turin)"
"Born in York Township, Upper Canada, Small was educated in his home district schools and at the Upper Canada College .","(John Small, place of birth, York)"
"Alizeh Imtiaz (born 10 November 1986 in Karachi, Pakistan) is the first Pakistani to have successfully had her debut short film 'Shades of Black' screened at the London Filmmakers Convention 2007 .","(Alizeh Imtiaz, place of birth, Karachi)"
"Judith Vollmer (b. 1951 in Pittsburgh, Pennsylvania) is an American poet and editor .","(Judith Vollmer, place of birth, Pittsburgh)"
Shay Gibbons (born 19 May 1929 in Dublin died 9 June 2006) is a former Irish international footballer who was regarded as one of the top players in the League of Ireland in the 1950s .,"(Shay Gibbons, place of birth, Dublin)"
"Gareth Knapman (born 4 March 1981 Birmingham, England) is an English theatre actor and director, and a founding director of Ubiquity Theatre Company .","(Gareth Knapman, place of birth, Birmingham)"
"Keith Cozens (born April 24, 1957, Surrey, England) is an English Businessman, Entrepreneur & Venture Capitalist, best known for his Merlin Holdings Group brand of companies .","(Keith Cozens, place of birth, Surrey)"
"Dick Spotswood (born March 25, 1947, San Francisco, CA) is a political writer for the Marin Independent Journal, a newspaper based in Marin County, California, USA .","(Dick Spotswood, place of birth, California)"
"Born in Norfolk or Suffolk, Mumford became a Jesuit novice in 1626, was ordained priest at Liège around 1635, and made his Jesuit profession in 1641 .","(James Mumford, place of birth, Norfolk)"
"Born in Toronto, Blum grew up in Hamilton, Ontario, and trained as an actor at the National Theatre School of Canada .","(Jack Blum, place of birth, Toronto)"
"Mark Patton (born 7 January 1965 in Jersey) is a British archaeologist known for his work on the prehistory of the Channel Islands and North-Western France, particularly the archaeology of megaliths, as well as the prehistory of the Mediterranean islands, the theory of island biogeography and the history of European archaeology .","(Mark Patton, place of birth, Jersey)"
"Born in Germany, shaped in New Jersey and currently living in Ohio, Girard is also a musician having released an album of piano songs he composed and recorded .","(Geoffrey Girard, place of birth, Germany)"
"Born in Shanghai, Zhu was, like so many others, shaped in his eventual outlook by China's Cultural Revolution, when he was sent to rural Lankao County, Henan as a ``sent-down youth'' in 1970 .","(Zhu Xueqin, place of birth, Shanghai)"
"Born in Milwaukee, Wisconsin, Ladwig graduated from Shorewood High School .","(Bonnie Ladwig, place of birth, Milwaukee)"
"He began studying under Imafuji Ryōko at the age of ten, and made his stage debut the following year, in 1980 .","(Imafuji Ch%C5%8Dtatsur%C5%8D, place of birth, Tokyo)"
"Guo Jinlong (; born July 1947 in Nanjing, Jiangsu) is a politician of the People's Republic of China and Mayor of Beijing .","(Guo Jinlong, place of birth, Nanjing)"
Maude Duncan was born to a well-to-do family in Virginia .,"(Maude Duncan, place of birth, Virginia)"
"Born in Pittsburgh, Fine studied at the Philadelphia School of Industrial Art and then launched his cartoon career .","(Stan Fine, place of birth, Pittsburgh)"
"Zhores Aleksandrovich Medvedev (; born 14 November 1925 in Tbilisi, Georgia) is a Russian biologist, historian and dissident .","(Zhores Medvedev, place of birth, Tbilisi)"
"Gael Suares (born April 9, 1981 in Paris, France) is a French footballer who played 2 matches in Ligue 1 for Caen in the 2004-2005 season and 28 matches in Ligue 2 for Caen in the period 2000-2004  .","(Gael Suares, place of birth, France)"
"Peter Nyborg (born December 12, 1969, in Gothenburg, Sweden), is a former professional tennis player from Sweden .","(Peter Nyborg, place of birth, Gothenburg)"
"Born in Vienna, Austria, Goldzier attended the public schools of Vienna .","(Julius Goldzier, place of birth, Vienna)"
"Bill Jennings (born 7 January 1920, in Norwich, died in 1969) was a professional footballer .","(Bill Jennings, place of birth, Norwich)"
"Louis Gustave Ricard (1823 - 1873) was a French painter born in Marseilles, and studied first under Auber in his native town, and subsequently under Coignet in Paris .","(Louis Gustave Ricard, place of birth, Marseille)"
"Ephraim Paine (August 19, 1730 Canterbury, Windham County, Connecticut -- August 10, 1785 Amenia, Dutchess County, New York) was an American physician and politician from New York .","(Ephraim Paine, place of birth, Canterbury)"
"Born in Canton, Maine, Bisbee attended the public schools, and was graduated from Tufts College, Medford, Massachusetts, in 1863 .","(Horatio Bisbee, Jr., place of birth, Canton)"
Sébastien Leblanc (born 27 December 1973 in Montreal) is a former tour professional tennis player .,"(S%C3%A9bastien Leblanc, place of birth, Montreal)"
"Tom Lynskey (born 1978, Galway, Ireland) is a young Irish businessman and entrepreneur .","(Tom Lynskey, place of birth, Galway)"
"``DJ Uncle Al'' (August 14, 1969 -- September 10, 2001), born Albert Moss in Miami, Florida, was an American DJ .","(DJ Uncle Al, place of birth, Miami)"
"James Milnor Coit (January 31, 1845--1925) was an American teacher, born in Harrisburg, Pennsylvania .","(James Milnor Coit, place of birth, Harrisburg)"
"Alan Thomson (born 3 May 1960, Glasgow) is a Scottish bassist and vocalist with many acts including the late John Martyn .","(Alan Thomson, place of birth, Glasgow)"
"Rebchuk was born to a Ukrainian immigrant family in north-end Winnipeg, and graduated from St John's High School .","(Slaw Rebchuk, place of birth, Winnipeg)"
Ashley Gilbertson (born 22 January 1978) is an award-winning photographer best known for his images of the Iraq war .,"(Ashley Gilbertson, place of birth, Australia)"
"Timothy Foote is an editor and writer, born in London, 3 May 1926 .","(Timothy Foote, place of birth, London)"
"Irving Fiske (March 5, 1908--April 25, 1990) born Irving Fishman in Brooklyn, New York, was a playwright, inventor, freelance writer, and speaker .","(Irving Fiske, place of birth, Brooklyn)"
"Born in Rome, Italian capital, Maggiolini started his career at Lodigiani .","(Tiziano Maggiolini, place of birth, Rome)"
"Pat Foote (* May 19th, 1930 in Durham, North Carolina) is a retired US Army Brigadier General .","(Pat Foote, place of birth, Durham)"
"Aco Petrović (serb. Ацо Петровић; born October 14, 1959 in Belgrade) is a Serbian basketball coach .","(Aco Petrović, place of birth, Belgrade)"
"Endre Csillag (born October 12, 1957, Budapest) is a Hungarian guitarist, former member of rock band Edda and Bikini .","(Endre Csillag, place of birth, Budapest)"
"Thomas Burton Bottomore (8 April 1920 England -- 9 December 1992 Sussex, England), usually known as Tom Bottomore, was a British Marxist sociologist .","(Thomas Bottomore, place of birth, England)"
"Born in Germany in 1969, raised in Italy and educated in the United States, pianist, composer, and arts-presenter Antonio Ciacca began his career in jazz as a sideman for Art Farmer, James Moody, Lee Konitz, Jonny Griffin, Mark Murphy, Dave Liebman, and Steve Grossman .","(Antonio Ciacca, place of birth, Germany)"
"Chris Heimerdinger (born August 26, 1963, Bloomington, Indiana, USA) is an American author and member of The Church of Jesus Christ of Latter-day Saints (LDS Church) who has written sixteen novels for young people and adults, the Tennis Shoes Adventure Series, most of which center on religious themes familiar to Latter-day Saints .","(Chris Heimerdinger, place of birth, Indiana)"
"Friedrich August Schack (born 27 March 1892, Schmiedeberg im Riesengebirge/Silesia (now Kowary), died 24 July 1968, Goslar) was a General of Infantry best known for his pyrrhic defense of Caen after the allied invasion, September 1944, and for his brief leadership of the LXXXI Army Corps defending Aachen and the Siegfried Line .","(Friedrich-August Schack, place of birth, Silesia)"
"Christian Ferdinand Friedrich Krauss (9 July 1812 Stuttgart - 15 September 1890 Stuttgart), was a German scientist, traveller and collector .","(Christian Ferdinand Friedrich Krauss, place of birth, Stuttgart)"
Kumar Ponnambalam was born in the capital city of Colombo to an affluent and politically influential minority Sri Lankan Tamil family .,"(Kumar Ponnambalam, place of birth, Colombo)"
"Lucius Verus was the first born son to Avidia Plautia and Lucius Aelius Verus Caesar, the first adopted son and heir of Roman Emperor Hadrian (76--138) .","(Lucius Verus, place of birth, Rome)"
"Neil Zakiewicz (born 1972, London, UK) is a British artist .","(Neil Zakiewicz, place of birth, London)"
"Langen, born in Minneapolis, Minnesota attended the public schools and Dunwoody Institute, Minneapolis, Minnesota, in 1933 and 1934 .","(Odin Langen, place of birth, Minneapolis)"
"Mark Howett, born 1963 in Perth, Australia, is a lighting designer and director for theatre Dance Opera and Film .","(Mark Howett, place of birth, Perth)"
"Isaac Green Messec, was born in Macon, Bibb County, Georgia .","(Isaac Green Messec, place of birth, Macon)"
Elizabeth Kell (born 09 July 1983 in Sydney) is an Australian rower .,"(Elizabeth Kell, place of birth, Sydney)"
"Joel Frost (September 28, 1765 Carmel, then Dutchess County, New York - September 11, 1827 Carmel, now Putnam County, New York) was an American lawyer and politician from New York .","(Joel Frost, place of birth, Carmel)"
"Osku Palermaa (born 18 November 1983) in Espoo, Finland is a Finnish Ten-pin bowler .","(Osku Palermaa, place of birth, Finland)"
Leopold Casper (31 May 1859 -- 16 March 1959) was a German physician and urologist born in Berlin .,"(Leopold Casper, place of birth, Berlin)"
Andrew Repasky McElhinney is an American film producer born in Philadelphia in 1979 .,"(Andrew Repasky McElhinney, place of birth, Philadelphia)"
"Bunita Marcus, born May 5, 1952 in Madison, Wisconsin, began studying composition at the age of sixteen and worked in both electronic and instrumental mediums while at the University of Wisconsin .","(Bunita Marcus, place of birth, Madison)"
"Born in York, England, James was educated at Ampleforth College, North Yorkshire Leeds College of Music studying flute and guitar (Gordon Crosskey), and Trinity College of Music, London, where he studied guitar and composition with Hector Quine and David Newbold respectively .","(Simon James, place of birth, York)"
Herbert Thomas Postle (28 September 1884 -- 24 July 1961) was an Australian politician .,"(Herbert Postle, place of birth, Melbourne)"
"Born in Wentworth, New Hampshire, Turner attended the common schools before moving to New York City in November 1879 .","(Charles Henry Turner, place of birth, Wentworth)"
"Marc Chervel, born November 1, 1932 in Lille (North) and died November 25, 2004 in Beaumont-les-Nonains (Oise), is a development economist .","(Marc Chervel, place of birth, Lille)"
"Hans Henrik Løyche is a Danish science fiction writer, born in Copenhagen in 1964 .","(Hans Henrik Løyche, place of birth, Copenhagen)"
"Terry Eviston (born 17 July 1957 in Dublin) was a footballer who played for Home Farm, Bohemians, Athlone Town A.F.C., Dundalk FC and two spells with Shamrock Rovers .","(Terry Eviston, place of birth, Dublin)"
"Francis Davis (born August 30, 1946, Philadelphia) is an American author and journalist .","(Francis Davis, place of birth, Philadelphia)"
"Sarah Brandner (born 12 December 1988 in Munich, West Germany) is a German model, and girlfriend of footballer Bastian Schweinsteiger .","(Sarah Brandner, place of birth, Munich)"
"Chubb Rock (born Richard Simpson on May 28, 1968 in Jamaica) is a New York-based rapper who released several commercially successful hip hop albums in the early 1990s .","(Chubb Rock, place of birth, Jamaica)"
"Francis Ernest Jackson was born on 15 August 1872 in Huddersfield, the son of a printer .","(Francis Ernest Jackson, place of birth, Huddersfield)"
"MWF is a pseudonym of Mark Flake born in Memphis, Tennessee in 1960 .","(MWF, place of birth, Memphis)"
Aspinall was born on 25 August 1851 in Liverpool to a Roman Catholic judge .,"(John Aspinall, place of birth, Liverpool)"
"Brendon Sinclair (born 21 November 1966 in Hobart, Tasmania, Australia) is an Australian writer who specialises in the Internet industry .","(Brendon Sinclair, place of birth, Hobart)"
Paul Conway (born 7 September 1953 in Chicago) is associate professor in the University of Michigan School of Information and has worked with Yale and Duke Universities after starting his career at the Gerald R Ford Presidential Library .,"(Paul Conway, place of birth, Chicago)"
"Tarek Momen, (born February 23, 1988 in Cairo) is a professional squash player who represented Egypt .","(Tarek Momen, place of birth, Cairo)"
"Maryam Khan is a British politician born in Manchester, belonging to the Labour Party who has served as the Councillor of Longsight after being elected in May 2006 .","(Maryam Khan, place of birth, Manchester)"
"Born in Frankfurt, Germany into a distinguished rabbinical family, Benzion Rakow was a direct descendant of Rabbi Yom-Tov Lipmann Heller, (author of the Tosefot Yom-Tov commentary on the Mishnah) .","(Benzion Rakow, place of birth, Frankfurt)"
"Mark Buchanan (born October 31, 1961, Cleveland, Ohio) is an American physicist and author .","(Mark Buchanan, place of birth, Cleveland)"
"Justine Smethurst (born 14 January 1987 in Melbourne, Victoria) is a softball player from Australia, who won a bronze medal at the 2008 Summer Olympics .","(Justine Smethurst, place of birth, Melbourne)"
"Davide Sorrenti (July 9, 1976 Naples, Italy - February 4, 1997 New York, USA) was a fashion photographer, son of photographer and advertiser Francesca Sorrenti; and brother of Mario Sorrenti (b. 1971), and Vanina Sorrenti (b. 1973) also fashion photographers .","(Davide Sorrenti, place of birth, Naples)"
"Alessandro Frosini (born 22 September, 1972 in Siena) is an Italian basketball player with Juvecaserta Basket .","(Alessandro Frosini, place of birth, Siena)"
Bhai Balmukund born in 1889 at village Kariala in Jhelum district (now in Pakistan) .,"(Bhai Balmukund, place of birth, Pakistan)"
"Born Ellen Norgren in Stockholm, Gulbranson studied initially at the Stockholm Conservatory under Julius Gunther and then in Paris with Ellen Kenneth and the great pedagogue Mathilde Marchesi .","(Ellen Gulbranson, place of birth, Stockholm)"
"Born in Tucson, Arizona, Bilby earned a bachelor's degree in 1955 from the University of Arizona and a law degree from the University of Michigan Law School in 1958 .","(Richard Bilby, place of birth, Tucson)"
Mary Akrivopoulou (born 1975 in Thessaloniki) is a Greek actress .,"(Mary Akrivopoulou, place of birth, Thessaloniki)"
"Strallen, who was born in London, England, had previously played that role twice in the West End production: she first joined the show at the end of 2005 to replace original cast member Laura Michelle Kelly, but left in November 2006 to join the The Royal Shakespeare Company's musical production of The Merry Wives of Windsor in Stratford .","(Scarlett Strallen, place of birth, London)"
"Athanase Josué Coquerel (16 June 1820 Amsterdam - 24 July 1875 Fismes (Marne)) was a French Protestant theologian, son of Athanase Laurent Charles Coquerel .","(Athanase Josué Coquerel, place of birth, Amsterdam)"
"Born in Baltimore, Maryland, Booze attended the public schools in Baltimore and graduated from Baltimore City College in 1879 .","(William Samuel Booze, place of birth, Baltimore)"
"Born in Philadelphia, Pennsylvania, Fraley joined the wholesale hardware business at the age of 16, and subsequently began importing hardware .","(Frederick Fraley, place of birth, Philadelphia)"
"Giuseppe Sabbatini (born May 11, 1957, Rome, Italy) is a lyric tenor .","(Giuseppe Sabbatini, place of birth, Rome)"
"In World War II, Hartt was an officer in the Monuments, Fine Arts, and Archives Division of the US Army and received a Bronze Star .","(Frederick Hartt, place of birth, Boston)"
"The son of Sir Edward Fitzharris, he was born in Ireland about 1648, and bought up a Catholic .","(Edward Fitzharris, place of birth, Ireland)"
Kuhn was born on 3 January 1926 in Vienna .,"(Felicitas Kuhn, place of birth, Vienna)"
Kenny Brannigan (born 8 June 1965 in Glasgow) is a former Scottish association footballer .,"(Kenny Brannigan, place of birth, Glasgow)"
"Born in Portugal, Souza Mendes played in the Brazilian Chess Championship 29 times, winning in 1925 (the first year the tournament was held), 1928, 1929, 1930, 1943, 1954, and 1958 .","(João de Souza Mendes, place of birth, Portugal)"
"Born in Tokyo, Tzigane studied with James DePriest at the Juilliard School, and graduated in 2007 with a Master of Music in orchestral conducting .","(Eugene Tzigane, place of birth, Tokyo)"
"Henson was born Gladys Gunn in Dublin, Ireland .","(Gladys Henson, place of birth, Dublin)"
"Born in London, Smith was educated in Scotland .","(David Smith, place of birth, London)"
"Carl Frederik Waage Beck (Born 1979 in Copenhagen, Denmark) is a Copenhagen based community activist and artist working under the pseudonym Paintshooter .","(Carl Frederik Waage Beck, place of birth, Copenhagen)"
"Catherine Vickers is a Canadian pianist, born in Regina .","(Catherine Vickers, place of birth, Regina)"
"Alex Figge (born January 29 1983) is an American race car driver born in Boulder, Colorado .","(Alex Figge, place of birth, Boulder)"
"Born in Chattanooga, Anderson received a JD and Bachelor of Laws degree from the University of Tennessee College of Law in 1957 .","(E. Riley Anderson, place of birth, Chattanooga)"
"Paul Belmondo (b. 8 August 1898, Algiers, French Algeria - d 1 January 1982, Paris, France) was a French sculptor .","(Paul Belmondo, place of birth, Algiers)"
"Sébastien Roch (born 3 December 1972 in Toulouse) is a French actor, singer and television host .","(Sébastien Roch, place of birth, Toulouse)"
"Born in Montreal, McKay studied the piano with Lubka Kolessa in his native city as a boy .","(John McKay, place of birth, Montreal)"
"Nahum Slouschz (Hebrew: נחום סלושץ) (born November 1872, Odessa, died 1969 Israel), was a Russian Hebrew litterateur, writer and translator .","(Nahum Slouschz, place of birth, Odessa)"
"Aigars Vītols born February 15, 1976 in Riga, Latvian SSR) is a Latvian professional basketball player who plays the shooting guard position for the VEF Riga .","(Aigars Vītols, place of birth, Riga)"
"Bayley married John's sister, Catherine Charlton and had three children, including Elizabeth Ann Bayley .","(Richard Bayley, place of birth, Fairfield)"
David Bret (born 8 November 1954 in Paris) is a French-born British author of showbiz biographies .,"(David Bret, place of birth, Paris)"
Guerguina Dvoretzka is a Bulgarian poet and journalist who was born in Sofia .,"(Guerguina Dvoretzka, place of birth, Sofia)"
"Brendon Lindsay (born 21 September 1977 in Australia), is an Australian-born Scotland international rugby league player for the Sheffield Eagles in the Co-operative Championship .","(Brendon Lindsay, place of birth, Australia)"
"Judy Brooke is an English actress born in Leeds, West Yorkshire on 21 February 1970 .","(Judy Brooke, place of birth, Leeds)"
"Carlos Sampayo (born 17 September 1943 in Argentina) is a writer best known for his work in comics, particularly in collaboration with artist José Muñoz .","(Carlos Sampayo, place of birth, Argentina)"
"Tino Vegar (born 30 January 1967 in Split) is a water polo player from Croatia, who was a member of the national team that won the silver medal at the 1996 Summer Olympics in Atlanta, Georgia .","(Tino Vegar, place of birth, Split)"
"Thomas Guthrie Marquis (1864-1936) was a Canadian author, born at Chatham, New Brunswick, and educated at Queen's University, Kingston, where he graduated in 1889 .","(Thomas Guthrie Marquis, place of birth, Chatham)"
"Robert Simpson Woodward (July 21, 1849--June 29, 1924) was an American physicist and mathematician, born at Rochester, Michigan .","(Robert Simpson Woodward, place of birth, Rochester)"
"Henry Mackenzie Green (2 May 1881 -- 9 September 1962) was a journalist, librarian and literary historian born in Sydney, Australia .","(H. M. Green, place of birth, Sydney)"
"Katerina Lemmel, née Imhoff (born 1466 in Nuremberg - died March 28, 1533 in Maihingen; also Katharina Lemmel, Katharina Lemlin) was a successful patrician businesswoman in Nuremberg who became a Birgittine nun at the monastery of Maria Mai in Maihingen in Nördlinger Ries .","(Katerina Lemmel, place of birth, Nuremberg)"
"Carlo Silipo (born September 10, 1971 in Naples) is a retired water polo player from Italy, who represented his native country at three Summer Olympics: 1992, 1996 and 2004 .","(Carlo Silipo, place of birth, Naples)"
"Born in Concord in 1774, Mary Moody Emerson was the fourth child of Phebe Bliss and the Reverend William Emerson .","(Mary Moody Emerson, place of birth, Concord)"
Marc Matthews is a writer who was born in Guyana in the 1940s .,"(Marc Matthews, place of birth, Guyana)"
"Matthias Bjørnlund (born in 1967 in Copenhagen, Denmark) is a Danish historian .","(Matthias Bjornlund, place of birth, Copenhagen)"
"Henry Alfred Todd, Ph D (1854--1925) was an American Romance philologist, born at Woodstock, Ill .","(Henry Alfred Todd, place of birth, Woodstock)"
Cawley was born in the Yorkshire market town of Doncaster .,"(Richard Cawley, place of birth, Doncaster)"
"Michael Halvarson, born July 30, 1976 in Stockholm, Sweden, has for a long time been one of the most frequently-hired artists and comedians in Scandinavia .","(Michael Halvarson, place of birth, Stockholm)"
"Born in Pittsburgh, Hannon grew up in the suburb of Fox Chapel and graduated from Shady Side Academy .","(Kerry Hannon, place of birth, Pittsburgh)"
"Born in Scotland, Boyd graduated from St Martin's School of Art in London with a BA in Fine Art Film .","(Paul Boyd, place of birth, Scotland)"
"Born in Paris, France from Canadian parents, Dr Pouliot was raised in Montreal, Canada .","(Yannick Pouliot, place of birth, Paris)"
"Hasna Xhukiçi (born April 13, 1988) is a fashion model and beauty queen from Albania .","(Hasna Xhukiçi, place of birth, Albania)"
Karl Chmielewski (16 July 1903 in Frankfurt am Main   1 December 1991 in Bernau am Chiemsee) was a German Schutzstaffel officer and concentration camp commandant .,"(Karl Chmielewski, place of birth, Frankfurt)"
"Born in Detroit, Kushner graduated Phi Beta Kappa from the University of Cincinnati, after which he went on to receive his rabbinical ordination from Hebrew Union College in Cincinnati .","(Lawrence Kushner, place of birth, Detroit)"
Charles Frodsham (15 April 1810 London --1871 London) was a renowned English watch and clockmaker .,"(Charles Frodsham, place of birth, London)"
"William Henry Anderdon (26 December 1816 -- 28 July 1890) was an English Jesuit and writer, born in London .","(William Henry Anderdon, place of birth, London)"
"Born in Vienna, Austria in 1927, Dr Orne received his MD degree from Tufts University Medical School in 1955, with a residency in psychiatry at Massachusetts Mental Health Center, and a PhD in psychology from Harvard University in 1958 .","(Martin Theodore Orne, place of birth, Vienna)"
"Travis Bowen (Born October 10, 1977 in Erie, Pennsylvania) is an actor and director with the film company Eerie Frequency Entertainment .","(Travis Bowen, place of birth, Erie)"
"Bruce Hoblitzell (June 25, 1887 -- August 11, 1970) was mayor of Louisville, Kentucky from 1957 to 1961 .","(Bruce Hoblitzell, place of birth, Louisville)"
"Born in Exeter, he was the eldest son of Thomas Bridgeman and grandson of Edward Bridgeman .","(John Bridgeman, place of birth, Exeter)"
"Born in Saskatchewan to a New Brunswick father from the diplomatic field, Cole grew up in Pakistan, Afghanistan, Czechoslovakia, Switzerland and South Africa .","(Frank Cole, place of birth, Saskatchewan)"
"Born in Scotland, McHale was educated in the United Kingdom and the United States of America, with a PhD in Sociology .","(John McHale, place of birth, Scotland)"
"Niels Janniksen Bjerrum, born March 11, 1879 in Copenhagen, died September 30, 1958, was a Danish chemist .","(Niels Bjerrum, place of birth, Copenhagen)"
Massimo Mazzucco (born 20 July 1954 in Turin) is an Italian filmmaker who is known for producing documentary films such as The New American Century and Cancer -The Forbidden Cures .,"(Massimo Mazzucco, place of birth, Turin)"
"No I.D., officially known as Immenslope and also known as Ernest Wilson (born Dion Wilson in Chicago, Illinois), is a hip hop and R&B record producer, also the vice-president of Def Jam Recordings, best known for his early work with Chicago rapper Common and is known as ``The Godfather of Chicago hip hop'' .","(No I.D., place of birth, Chicago)"
Jérôme Inzerillo (born 15 February 1990 in Marseille) is a junior tennis player from France .,"(J%C3%A9r%C3%B4me Inzerillo, place of birth, Marseille)"
